Category;Requirement;Status;Owner;Notes;;
Infrastructure;Production Server hosting;Pending;;Choose provider based on budget;;
Infrastructure;Pre-Production Server hosting;Pending;;Choose provider based on budget;;
Infrastructure;Development and UAT Server hosting;Pending;;Choose provider based on budget;;
Infrastructure;Web Application Servers configuration detals;Pending;;Auto-scaling configured;;
Infrastructure;Database Servers configuration details;Pending;;Choose DB;;
Infrastructure;Redis Cache Server configuration details;Pending;;For session and query caching;;
Infrastructure;CDN Setup (CloudFlare/CloudFront);Pending;;Cache static assets 1 year;;
Infrastructure;Load Balancer Configuration;Pending;;Health checks every 30s;;Traefik var, health checks var
Infrastructure;Auto-scaling rules (CPU > 70%);Pending;;Horizontal scaling;;docker-compose.prod.yml'de CPU-based scaling config var
Database;PostgreSQL/MySQL installation and configuration;Pending;;Max connections 200-500;;
Database;Database optimization (indexes, query performance);Pending;;Target < 50ms average;;
Database;Master-slave replication setup;Pending;;High availability;;
Database;Automated backup system (daily full, hourly incremental);Pending;;30-day retention;;
Database;Point-in-time recovery capability;Pending;;Critical for data recovery;;
Database;Database encryption at rest;Pending;;For sensitive data;;
Database;Automated failover mechanism;Pending;;Minimize downtime;;
Security;SSL/TLS Certificate ;Pending;;Auto-renewal configured;;lets encrypt
Security;TLS 1.2/1.3 configuration with strong ciphers;Pending;;Target SSL Labs A+;;
Security;HSTS header implementation;Pending;;Max-age 31536000;;
Security;Security headers (CSP, X-Frame-Options, etc.);Pending;;Prevent XSS, clickjacking;;
Security;Input validation and sanitization;Pending;;All user inputs;;
Security;SQL injection prevention (parameterized queries);Pending;;Critical security;;
Security;XSS prevention (DOMPurify);Pending;;Sanitize HTML;;
Security;Password hashing (bcrypt/Argon2, 12+ rounds);Pending;;Strong security;;
Security;Strong password policy enforcement;Pending;;8+ chars, mixed case, symbols;;
Security;Account lockout after failed login attempts;Pending;;5 attempts, 15 min lockout;;
Security;JWT implementation (15min access, 7 day refresh);Pending;;Secure cookies;;
Security;CSRF protection tokens;Pending;;All state-changing requests;;
Security;Rate limiting implementation;Pending;;Prevent abuse;;
Security;DDoS protection at CDN level;Pending;;CloudFlare/AWS Shield;;
Security;File upload validation (type, size, content);Pending;;Prevent malicious uploads;;
Security;Security audit and penetration testing;Pending;;Before launch;;
Security;WAF (Web Application Firewall) setup;Pending;;Choose WAF;;
Security;2FA/MFA implementation;Pending;;Optional for users;;
Payment;Payment gateway integration (Izyico);Pending;;PCI DSS compliant;;sandbox kurulu api gelince düzelecek
Payment;Tokenization for card storage;Pending;;Never store CVV;;
Payment;3D Secure authentication;Pending;;Fraud prevention;;
Payment;Payment transaction audit logs;Pending;;Compliance requirement;;
Payment;Fraud detection system (velocity checks);Pending;;Geolocation, patterns;;
Payment;Quarterly vulnerability scans;Pending;;PCI DSS requirement;;
Payment;Refund and chargeback handling;Pending;;Automated workflows;;
SEO;Server-side rendering (Next.js/Nuxt.js);Pending;;Better SEO;;ssr optimizasyonu eksik
SEO;Clean URL structure implementation;Pending;;Hyphens, descriptive;;kısmen var tam değil
SEO;XML sitemap generation (auto-update);Pending;;Submit to search engines;;sitemap var auto update yok
SEO;Robots.txt configuration;Pending;;Block admin, duplicates;;
SEO;Meta tags optimization (title, description);Pending;;Unique per page;;
SEO;Open Graph and Twitter Card tags;Pending;;Social sharing;;
SEO;Structured data (Schema.org JSON-LD);Pending;;Product, Review, Organization;;
SEO;Image optimization and lazy loading;Pending;;WebP with fallbacks;;
SEO;Core Web Vitals optimization;Pending;;LCP<2.5s, FID<100ms, CLS<0.1;;
SEO;Mobile-first responsive design;Pending;;Google mobile-first indexing;;google mobile first indexing optimizasyonu eksik
SEO;AI Search Optimization (SearchGPT, Perplexity);Pending;;Structured answers, FAQs;;
SEO;Internal linking strategy;Pending;;Keyword-rich anchors;;
SEO;Canonical tags for duplicate content;Pending;;Prevent duplicate indexing;;
SEO;Google Search Console setup;Pending;;Monitor performance;;
Email;Transactional email service ;Pending;;API integration;;
Email;SPF record configuration;Pending;;Email authentication;;
Email;DKIM setup;Pending;;Email authentication;;
Email;DMARC policy configuration;Pending;;Email security;;
Email;Email template system (MJML);Pending;;Responsive templates;;
Email;Welcome email automation;Pending;;After registration;;
Email;Email verification flow;Pending;;Confirm email ownership;;
Email;Password reset email;Pending;;Secure token-based;;
Email;Order confirmation emails;Pending;;With invoice PDF;;invoice pdf yok
Email;Shipping notification emails;Pending;;Tracking info;;tracking sayfasına yönlendiriyo ama güncellemelerin mail gelmesi için api lazım
Email;Trade proposal notification;Pending;;Real-time alerts;;
Email;Message notification emails;Pending;;User inbox alerts;;
