Category;Technology;Purpose;;
Frontend Web;React/Next.js or Vue/Nuxt.js;Server-side rendering, SEO optimization;;
Frontend Web;TypeScript;Type safety and better code quality;;
Frontend Web;Tailwind CSS / Material UI;Responsive styling framework;;
Mobile App;React Native or Flutter;Cross-platform mobile development;;
Backend;Node.js with Express/Nest.js;API server and business logic;;
Backend;Python with Django/FastAPI;Alternative for ML features;;
Database;PostgreSQL 15;Primary relational database;;
Database;Redis 7.0;Caching and session storage;;
Database;Elasticsearch/Algolia;Advanced search functionality;;
Hosting;Servers;Scalable cloud infrastructure;;
File Storage;File Storage;Image and file storage;;minio
CDN;CloudFlare / CloudFront;Content delivery network;;
Authentication;JWT + OAuth 2.0;Secure authentication;;
Payment;Izyico;Payment processing;;
Email;SendGrid / Amazon SES;Transactional emails;;
Push Notifications;Firebase Cloud Messaging;Mobile push notifications;;
Analytics;Google Analytics 4;Web and app analytics;;
Analytics;Firebase Analytics;Mobile app analytics;;
Monitoring;New Relic / Datadog;Application performance monitoring;;graphana ve promethius var
Error Tracking;Sentry;Error and crash tracking;;
Logging;ELK Stack;Centralized logging;;loki + promtail
CI/CD;GitHub Actions / GitLab CI;Automated deployment pipeline;;
Version Control;Git (GitHub/GitLab);Source code management;;
Testing;Jest / Cypress;Unit and E2E testing;;jest + playwright
Load Testing;JMeter / Artillery;Performance testing;;
Documentation;Swagger/OpenAPI;API documentation;;swagger
Localization;react-i18next / vue-i18n;Multi-language support;;
Real-time;Socket.io / WebSockets;Real-time chat and notifications;;
Message Queue;RabbitMQ / AWS SQS;Asynchronous processing;;
Containerization;Docker;Application containerization;;
Orchestration;Kubernetes (optional);Container orchestration;;
